17964 (out of 15920737) words in dict
14957666 training, 963071 testing
1541820 restaurants created
6032.09kB of test data
ITER 255: d0 = 0.471; d1 = 0.684; d2 = 0.697; PPLX 2^6.88 = 118.0
ITER 256: d0 = 0.324; d1 = 0.652; d2 = 0.679; PPLX 2^6.89 = 118.5
ITER 257: d0 = 0.395; d1 = 0.658; d2 = 0.695; PPLX 2^6.88 = 118.1
ITER 258: d0 = 0.265; d1 = 0.684; d2 = 0.689; PPLX 2^6.88 = 118.2
ITER 259: d0 = 0.504; d1 = 0.685; d2 = 0.662; PPLX 2^6.89 = 119.0
ITER 260: d0 = 0.266; d1 = 0.690; d2 = 0.670; PPLX 2^6.89 = 118.7
ITER 261: d0 = 0.415; d1 = 0.658; d2 = 0.687; PPLX 2^6.89 = 118.3
ITER 262: d0 = 0.344; d1 = 0.674; d2 = 0.673; PPLX 2^6.89 = 118.7
ITER 263: d0 = 0.354; d1 = 0.681; d2 = 0.694; PPLX 2^6.88 = 118.0
ITER 264: d0 = 0.402; d1 = 0.685; d2 = 0.690; PPLX 2^6.88 = 118.2
ITER 265: d0 = 0.279; d1 = 0.675; d2 = 0.691; PPLX 2^6.88 = 118.1
ITER 266: d0 = 0.347; d1 = 0.663; d2 = 0.688; PPLX 2^6.89 = 118.3
ITER 267: d0 = 0.291; d1 = 0.663; d2 = 0.696; PPLX 2^6.88 = 118.0
ITER 268: d0 = 0.280; d1 = 0.671; d2 = 0.698; PPLX 2^6.88 = 117.9
ITER 269: d0 = 0.359; d1 = 0.674; d2 = 0.686; PPLX 2^6.89 = 118.3
ITER 270: d0 = 0.514; d1 = 0.673; d2 = 0.666; PPLX 2^6.89 = 118.9
ITER 271: d0 = 0.471; d1 = 0.678; d2 = 0.686; PPLX 2^6.89 = 118.3
ITER 272: d0 = 0.272; d1 = 0.670; d2 = 0.682; PPLX 2^6.89 = 118.4
ITER 273: d0 = 0.280; d1 = 0.667; d2 = 0.686; PPLX 2^6.89 = 118.3
ITER 274: d0 = 0.360; d1 = 0.687; d2 = 0.679; PPLX 2^6.89 = 118.5
