14502 (out of 400168) words in dict
360634 training, 39534 testing
136394 restaurants created
204.452kB of test data
ITER 218: d0 = 0.682; d1 = 0.804; d2 = 0.903; PPLX 2^7.47 = 177.2
ITER 219: d0 = 0.742; d1 = 0.795; d2 = 0.881; PPLX 2^7.46 = 176.4
ITER 220: d0 = 0.769; d1 = 0.848; d2 = 0.883; PPLX 2^7.48 = 178.3
ITER 221: d0 = 0.664; d1 = 0.813; d2 = 0.899; PPLX 2^7.47 = 177.4
ITER 222: d0 = 0.717; d1 = 0.812; d2 = 0.906; PPLX 2^7.47 = 177.0
ITER 223: d0 = 0.745; d1 = 0.783; d2 = 0.888; PPLX 2^7.46 = 176.1
ITER 224: d0 = 0.654; d1 = 0.791; d2 = 0.880; PPLX 2^7.46 = 176.5
ITER 225: d0 = 0.638; d1 = 0.824; d2 = 0.894; PPLX 2^7.47 = 177.4
ITER 226: d0 = 0.683; d1 = 0.808; d2 = 0.888; PPLX 2^7.46 = 176.3
ITER 227: d0 = 0.727; d1 = 0.805; d2 = 0.908; PPLX 2^7.46 = 176.4
ITER 228: d0 = 0.726; d1 = 0.803; d2 = 0.896; PPLX 2^7.46 = 176.2
ITER 229: d0 = 0.655; d1 = 0.785; d2 = 0.901; PPLX 2^7.46 = 176.1
ITER 230: d0 = 0.656; d1 = 0.785; d2 = 0.900; PPLX 2^7.46 = 176.4
ITER 231: d0 = 0.765; d1 = 0.784; d2 = 0.882; PPLX 2^7.46 = 175.9
ITER 232: d0 = 0.652; d1 = 0.809; d2 = 0.882; PPLX 2^7.47 = 176.9
ITER 233: d0 = 0.655; d1 = 0.826; d2 = 0.897; PPLX 2^7.48 = 178.0
ITER 234: d0 = 0.694; d1 = 0.787; d2 = 0.904; PPLX 2^7.46 = 176.2
ITER 235: d0 = 0.762; d1 = 0.833; d2 = 0.881; PPLX 2^7.47 = 177.1
ITER 236: d0 = 0.750; d1 = 0.821; d2 = 0.911; PPLX 2^7.47 = 177.5
ITER 237: d0 = 0.677; d1 = 0.792; d2 = 0.891; PPLX 2^7.46 = 176.6
ITER 238: d0 = 0.680; d1 = 0.789; d2 = 0.886; PPLX 2^7.46 = 176.1
ITER 239: d0 = 0.652; d1 = 0.784; d2 = 0.885; PPLX 2^7.46 = 176.0
ITER 240: d0 = 0.635; d1 = 0.816; d2 = 0.887; PPLX 2^7.47 = 177.1
ITER 241: d0 = 0.670; d1 = 0.809; d2 = 0.896; PPLX 2^7.47 = 176.7
ITER 242: d0 = 0.719; d1 = 0.820; d2 = 0.893; PPLX 2^7.47 = 177.1
ITER 243: d0 = 0.763; d1 = 0.808; d2 = 0.891; PPLX 2^7.47 = 176.8
ITER 244: d0 = 0.740; d1 = 0.799; d2 = 0.893; PPLX 2^7.46 = 176.6
ITER 245: d0 = 0.750; d1 = 0.791; d2 = 0.893; PPLX 2^7.46 = 176.0
ITER 246: d0 = 0.667; d1 = 0.823; d2 = 0.891; PPLX 2^7.47 = 177.3
ITER 247: d0 = 0.667; d1 = 0.808; d2 = 0.896; PPLX 2^7.46 = 176.4
ITER 248: d0 = 0.668; d1 = 0.844; d2 = 0.887; PPLX 2^7.48 = 178.0
ITER 249: d0 = 0.746; d1 = 0.784; d2 = 0.887; PPLX 2^7.46 = 176.2
ITER 250: d0 = 0.705; d1 = 0.824; d2 = 0.885; PPLX 2^7.47 = 177.6
ITER 251: d0 = 0.663; d1 = 0.797; d2 = 0.893; PPLX 2^7.47 = 176.9
ITER 252: d0 = 0.639; d1 = 0.841; d2 = 0.906; PPLX 2^7.48 = 178.5
ITER 253: d0 = 0.698; d1 = 0.808; d2 = 0.894; PPLX 2^7.46 = 176.6
ITER 254: d0 = 0.707; d1 = 0.818; d2 = 0.879; PPLX 2^7.47 = 177.0
ITER 255: d0 = 0.716; d1 = 0.787; d2 = 0.885; PPLX 2^7.46 = 176.1
ITER 256: d0 = 0.691; d1 = 0.787; d2 = 0.889; PPLX 2^7.46 = 176.5
