58714 (out of 1561360) words in dict
1521826 training, 39534 testing
587155 restaurants created
204.452kB of test data
ITER 210: d0 = 0.657; d1 = 0.810; d2 = 0.899; PPLX 2^7.58 = 191.0
ITER 211: d0 = 0.712; d1 = 0.849; d2 = 0.895; PPLX 2^7.59 = 192.3
ITER 212: d0 = 0.743; d1 = 0.807; d2 = 0.892; PPLX 2^7.57 = 190.2
ITER 213: d0 = 0.653; d1 = 0.807; d2 = 0.901; PPLX 2^7.57 = 190.6
ITER 214: d0 = 0.700; d1 = 0.808; d2 = 0.893; PPLX 2^7.58 = 190.8
ITER 215: d0 = 0.662; d1 = 0.830; d2 = 0.905; PPLX 2^7.58 = 191.7
ITER 216: d0 = 0.733; d1 = 0.834; d2 = 0.898; PPLX 2^7.58 = 191.6
ITER 217: d0 = 0.766; d1 = 0.818; d2 = 0.905; PPLX 2^7.58 = 191.4
ITER 218: d0 = 0.709; d1 = 0.813; d2 = 0.904; PPLX 2^7.58 = 190.9
ITER 219: d0 = 0.746; d1 = 0.830; d2 = 0.920; PPLX 2^7.59 = 192.0
ITER 220: d0 = 0.695; d1 = 0.809; d2 = 0.902; PPLX 2^7.58 = 191.1
ITER 221: d0 = 0.690; d1 = 0.801; d2 = 0.905; PPLX 2^7.58 = 190.9
ITER 222: d0 = 0.711; d1 = 0.804; d2 = 0.892; PPLX 2^7.57 = 190.6
ITER 223: d0 = 0.686; d1 = 0.798; d2 = 0.893; PPLX 2^7.57 = 190.1
ITER 224: d0 = 0.679; d1 = 0.821; d2 = 0.899; PPLX 2^7.58 = 191.1
ITER 225: d0 = 0.770; d1 = 0.825; d2 = 0.892; PPLX 2^7.58 = 191.1
ITER 226: d0 = 0.719; d1 = 0.821; d2 = 0.905; PPLX 2^7.58 = 191.2
ITER 227: d0 = 0.751; d1 = 0.829; d2 = 0.896; PPLX 2^7.58 = 191.6
ITER 228: d0 = 0.689; d1 = 0.819; d2 = 0.918; PPLX 2^7.58 = 191.3
ITER 229: d0 = 0.730; d1 = 0.837; d2 = 0.898; PPLX 2^7.58 = 191.9
ITER 230: d0 = 0.657; d1 = 0.832; d2 = 0.896; PPLX 2^7.58 = 191.3
ITER 231: d0 = 0.664; d1 = 0.817; d2 = 0.910; PPLX 2^7.58 = 190.9
ITER 232: d0 = 0.647; d1 = 0.797; d2 = 0.903; PPLX 2^7.57 = 189.8
ITER 233: d0 = 0.671; d1 = 0.811; d2 = 0.917; PPLX 2^7.58 = 191.3
ITER 234: d0 = 0.743; d1 = 0.819; d2 = 0.897; PPLX 2^7.58 = 190.7
ITER 235: d0 = 0.659; d1 = 0.796; d2 = 0.905; PPLX 2^7.57 = 190.3
ITER 236: d0 = 0.733; d1 = 0.847; d2 = 0.900; PPLX 2^7.59 = 192.2
ITER 237: d0 = 0.684; d1 = 0.846; d2 = 0.914; PPLX 2^7.59 = 192.2
ITER 238: d0 = 0.664; d1 = 0.861; d2 = 0.913; PPLX 2^7.60 = 193.7
ITER 239: d0 = 0.712; d1 = 0.818; d2 = 0.907; PPLX 2^7.58 = 191.4
ITER 240: d0 = 0.662; d1 = 0.847; d2 = 0.896; PPLX 2^7.59 = 192.4
ITER 241: d0 = 0.703; d1 = 0.832; d2 = 0.895; PPLX 2^7.58 = 191.4
ITER 242: d0 = 0.648; d1 = 0.813; d2 = 0.914; PPLX 2^7.58 = 191.8
ITER 243: d0 = 0.749; d1 = 0.835; d2 = 0.905; PPLX 2^7.59 = 192.0
ITER 244: d0 = 0.747; d1 = 0.852; d2 = 0.893; PPLX 2^7.59 = 192.3
